#1				
double	AHU(8761, 5)		
0	301.4416667	0.159166667	0.159166667	1
3600	301.4416667	0.158333333	0.158333333	1
7200	301.425	0.158333333	0.158333333	1
10800	301.4083333	0.151666667	0.151666667	1
14400	301.35	0.15	0.15	1
18000	301.3916667	0.149166667	0.149166667	1
21600	301.3416667	0.140833333	0.140833333	1
25200	301.3666667	0.1325	0.1325	1
28800	301.4	0.121666667	0.121666667	1
32400	301.4416667	0.125	0.125	1
36000	301.7681818	0.136363636	0.136363636	1
39600	301.85	0.17	0.17	1
43200	301.6833333	0.184166667	0.184166667	1
46800	301.45	0.195833333	0.195833333	1
50400	301.6416667	0.184166667	0.184166667	1
54000	301.6083333	0.18	0.18	1
57600	301.5166667	0.173333333	0.173333333	1
61200	301.6333333	0.1625	0.1625	1
64800	301.7409091	0.153636364	0.153636364	1
68400	301.7583333	0.148333333	0.148333333	1
72000	301.8916667	0.1425	0.1425	1
75600	301.825	0.141666667	0.141666667	1
79200	301.7333333	0.140833333	0.140833333	1
82800	296.4333333	0.185	0.185	1
86400	296.7833333	0.168333333	0.168333333	1
90000	297.225	0.160833333	0.160833333	1
93600	297.625	0.156666667	0.156666667	1
97200	297.9166667	0.156666667	0.156666667	1
100800	297.8166667	0.15	0.15	1
104400	298.4916667	0.153333333	0.153333333	1
108000	298.5772727	0.167272727	0.167272727	1
111600	298.7833333	0.166666667	0.166666667	1
115200	299.075	0.170833333	0.170833333	1
118800	298.7	0.185833333	0.185833333	1
122400	298.4416667	0.190833333	0.190833333	1
126000	298.55	0.210833333	0.210833333	1
129600	298.3833333	0.2275	0.2275	1
133200	298.525	0.23	0.23	1
136800	298.575	0.23	0.23	1
140400	298.75	0.23	0.23	1
144000	298.2	0.23	0.23	1
147600	297.7416667	0.235833333	0.235833333	1
151200	297.25	0.240833333	0.240833333	1
154800	296.9666667	0.245833333	0.245833333	1
158400	297.0666667	0.25	0.25	1
162000	297.0954545	0.256363636	0.256363636	1
165600	297.1833333	0.263333333	0.263333333	1
169200	297.25	0.266666667	0.266666667	1
172800	297.7166667	0.265833333	0.265833333	1
176400	297.6666667	0.273333333	0.273333333	1
180000	298.0083333	0.28	0.28	1
183600	298.0583333	0.29	0.29	1
187200	298.0583333	0.285	0.285	1
190800	298.0166667	0.285833333	0.285833333	1
194400	298.025	0.283333333	0.283333333	1
198000	298.2083333	0.27	0.27	1
201600	298.0916667	0.276666667	0.276666667	1
205200	297.9	0.29	0.29	1
208800	298.1666667	0.3	0.3	1
212400	298.2916667	0.304166667	0.304166667	1
216000	297.5954545	0.315454545	0.315454545	1
219600	297.1666667	0.3275	0.3275	1
223200	297.25	0.334166667	0.334166667	1
226800	297.4	0.345	0.345	1
230400	296.9954545	0.358181818	0.358181818	1
234000	296.6416667	0.3625	0.3625	1
237600	296.55	0.37	0.37	1
241200	296.5748677	0.366984127	0.366984127	1
244800	296.5997354	0.363968254	0.363968254	1
248400	296.6246032	0.360952381	0.360952381	1
252000	296.6494709	0.357936508	0.357936508	1
255600	296.6743386	0.354920635	0.354920635	1
259200	296.6992063	0.351904762	0.351904762	1
262800	296.7240741	0.348888889	0.348888889	1
266400	296.7489418	0.345873016	0.345873016	1
270000	296.7738095	0.342857143	0.342857143	1
273600	296.7986772	0.33984127	0.33984127	1
277200	296.823545	0.336825397	0.336825397	1
280800	296.8484127	0.333809524	0.333809524	1
284400	296.8732804	0.330793651	0.330793651	1
288000	296.8981481	0.327777778	0.327777778	1
291600	296.9230159	0.324761905	0.324761905	1
295200	296.9478836	0.321746032	0.321746032	1
298800	296.9727513	0.318730159	0.318730159	1
302400	296.997619	0.315714286	0.315714286	1
306000	297.0224868	0.312698413	0.312698413	1
309600	297.0473545	0.30968254	0.30968254	1
313200	297.0722222	0.306666667	0.306666667	1
316800	297.0970899	0.303650794	0.303650794	1
320400	297.1219577	0.300634921	0.300634921	1
324000	297.1468254	0.297619048	0.297619048	1
327600	297.1716931	0.294603175	0.294603175	1
331200	297.1965608	0.291587302	0.291587302	1
334800	297.2214286	0.288571429	0.288571429	1
338400	297.2462963	0.285555556	0.285555556	1
342000	297.271164	0.282539683	0.282539683	1
345600	297.2960317	0.27952381	0.27952381	1
349200	297.3208995	0.276507937	0.276507937	1
352800	297.3457672	0.273492063	0.273492063	1
356400	297.3706349	0.27047619	0.27047619	1
360000	297.3955026	0.267460317	0.267460317	1
363600	297.4203704	0.264444444	0.264444444	1
367200	297.4452381	0.261428571	0.261428571	1
370800	297.4701058	0.258412698	0.258412698	1
374400	297.4949735	0.255396825	0.255396825	1
378000	297.5198413	0.252380952	0.252380952	1
381600	297.544709	0.249365079	0.249365079	1
385200	297.5695767	0.246349206	0.246349206	1
388800	297.5944444	0.243333333	0.243333333	1
392400	297.6193122	0.24031746	0.24031746	1
396000	297.6441799	0.237301587	0.237301587	1
399600	297.6690476	0.234285714	0.234285714	1
403200	297.6939153	0.231269841	0.231269841	1
406800	297.7187831	0.228253968	0.228253968	1
410400	297.7436508	0.225238095	0.225238095	1
414000	297.7685185	0.222222222	0.222222222	1
417600	297.7933862	0.219206349	0.219206349	1
421200	297.818254	0.216190476	0.216190476	1
424800	297.8431217	0.213174603	0.213174603	1
428400	297.8679894	0.21015873	0.21015873	1
432000	297.8928571	0.207142857	0.207142857	1
435600	297.9177249	0.204126984	0.204126984	1
439200	297.9425926	0.201111111	0.201111111	1
442800	297.9674603	0.198095238	0.198095238	1
446400	297.992328	0.195079365	0.195079365	1
450000	298.0171958	0.192063492	0.192063492	1
453600	298.0420635	0.189047619	0.189047619	1
457200	298.0669312	0.186031746	0.186031746	1
460800	298.0917989	0.183015873	0.183015873	1
464400	298.1166667	0.18	0.18	1
468000	298.3833333	0.18	0.18	1
471600	297.9	0.190833333	0.190833333	1
475200	297.2	0.2	0.2	1
478800	297.4916667	0.198333333	0.198333333	1
482400	298.175	0.193333333	0.193333333	1
486000	298.5166667	0.1875	0.1875	1
489600	298.1	0.190833333	0.190833333	1
493200	297.4045455	0.193636364	0.193636364	1
496800	296.9681818	0.181818182	0.181818182	1
500400	297.1583333	0.175833333	0.175833333	1
504000	297.325	0.174166667	0.174166667	1
507600	297.5318182	0.19	0.19	1
511200	298.1916667	0.193333333	0.193333333	1
514800	297.5863636	0.214545455	0.214545455	1
518400	297.2772727	0.231818182	0.231818182	1
522000	297.5333333	0.250833333	0.250833333	1
525600	297.7416667	0.26	0.26	1
529200	298.2083333	0.26	0.26	1
532800	298.2416667	0.265	0.265	1
